area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,19-Dec,3 BHK,Caycend,1512,3,2,75.77,Kothrud
Super built-up  Area,Ready To Move,2 BHK,,900,2,1,55,Law College Road
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,1230,3,3,54,Laxmi Road
Super built-up  Area,18-Apr,3 BHK,MNtha A,1378,2,3,42.33,Lulla Nagar
Super built-up  Area,17-Oct,2 BHK,Asarqz ,1277,2,1,61.3,Mahatma Gandhi Road
Super built-up  Area,19-Jun,3 BHK,Raard B,1985,4,2,189,Mangalwar peth
Plot  Area,Ready To Move,5 Bedroom,,8000,5,,500,Manik Bagh
Super built-up  Area,Ready To Move,2 BHK,SVmesVi,1210,2,2,62,Market yard
Super built-up  Area,Ready To Move,2 BHK,,890,2,,40,Model colony
Plot  Area,Ready To Move,9 Bedroom,,2550,9,0,360,Mukund Nagar
Plot  Area,Ready To Move,4 Bedroom,,1200,5,2,110,Mundhawa
Built-up  Area,Ready To Move,4 BHK,AWharde,3198,4,3,200,Nagar Road
Super built-up  Area,Ready To Move,3 BHK,,1464,3,2,56,Nana Peth
Super built-up  Area,Ready To Move,4 BHK,Prersis,2483,5,2,215,Narayan Peth
Plot  Area,Ready To Move,4 Bedroom,,1550,4,2,130,Narayangaon
Super built-up  Area,Ready To Move,4 BHK,Vaunei ,4111,4,1,310,Navi Peth
Super built-up  Area,Ready To Move,2 BHK,SNncypa,975,2,2,37.5,Padmavati
Super built-up  Area,Ready To Move,3 BHK,,2500,3,1,250,Parvati Darshan
Super built-up  Area,Ready To Move,3 BHK,PuoodSk,1690,3,1,125,Pashan
Super built-up  Area,18-May,2 BHK,SStusan,1063,2,1,31.89,Paud Road
Plot  Area,Ready To Move,3 Bedroom,,2572,3,3,390,Pirangut
Carpet  Area,Ready To Move,3 BHK,,2200,4,,350,Prabhat Road
Built-up  Area,Ready To Move,3 BHK,InockHo,1600,3,0,80,Pune Railway Station
Super built-up  Area,18-May,3 BHK,,1250,3,1,39.5,Rasta Peth
Super built-up  Area,Ready To Move,1 BHK,Prtusth,520,1,0,19.5,Raviwar Peth
Super built-up  Area,Ready To Move,4 BHK,PueraRi,4000,5,,212,Sadashiv Peth
Built-up  Area,Ready To Move,3 BHK,Keids O,1390,3,2,68,Sahakar Nagar
Super built-up  Area,18-May,2 BHK,SSdhimr,1185,2,2,40,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,KVersuj,1219,2,2,48,Sasson Road
Super built-up  Area,18-Dec,3 BHK,Sanzaat,1564,2,1,92,Satara Road
Super built-up  Area,Ready To Move,4 BHK,DSndsod,3425 - 3435,6,0,228.5,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,Sancei ,1100,2,2,37.1,Shaniwar Peth
Built-up  Area,Ready To Move,3 BHK,Esale O,1300,2,0,60,Shivaji Nagar
Plot  Area,Ready To Move,3 Bedroom,,1600,2,0,80,Shukrawar Peth
Built-up  Area,Ready To Move,3 Bedroom,,1600,3,2,75,Sinhagad Road
Super built-up  Area,19-Mar,3 BHK,Puachal,1482,2,1,92,Somwar Peth
Plot  Area,18-May,3 Bedroom,MGave E,1000,4,3,66,Swargate
Super built-up  Area,Ready To Move,2 BHK,,1200,2,3,53,Tilak Road
Plot  Area,Ready To Move,3 Bedroom,,600,3,2,75,Uruli Devachi
Super built-up  Area,Ready To Move,2 BHK,,1200,2,0,58,Vadgaon Budruk
Plot  Area,Ready To Move,6 Bedroom,,600,4,0,60,Wadgaon Sheri
Built-up  Area,Ready To Move,3 Bedroom,,2400,3,0,160,Viman Nagar
Super built-up  Area,19-Dec,3 BHK,PrensKe,1469,3,1,89,Vishrant Wadi
Super built-up  Area,22-Mar,1 BHK,,551,1,1,30,Wagholi
Super built-up  Area,19-Dec,2 BHK,,1160,2,1,52,Wakadewadi
Super built-up  Area,Ready To Move,2 BHK,Soresea,1205,2,1,78.5,Wanowrie
Built-up  Area,Ready To Move,3 BHK,,1550,2,3,52,Warje
Super built-up  Area,Ready To Move,3 BHK,MauilTr,1745,3,2,125,Yerawada
Super built-up  Area,Ready To Move,2 BHK,Kamesar,1028,2,1,42,Alandi Road
Super built-up  Area,Ready To Move,3 BHK,CaaveEn,1700,3,1,180,Ambegaon Budruk
Super built-up  Area,Ready To Move,3 BHK,NadriNe,1200,2,1,34,Anandnagar
Super built-up  Area,Ready To Move,3 BHK,Soianal,2700,4,1,270,Aundh
Built-up  Area,Ready To Move,2 BHK,BSarknd,1100,2,2,50,Aundh Road
Plot  Area,Ready To Move,2 Bedroom,,1200,3,1,72,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Dural C,1269.72,2,2,68,Baner
Super built-up  Area,Ready To Move,2 BHK,SJmesst,1266,2,2,59,Baner road
Super built-up  Area,Ready To Move,2 BHK,Srkha S,1060,2,1,62,Bhandarkar Road
Plot  Area,Ready To Move,3 Bedroom,Copust ,1168,3,0,70,Bhavani Peth
Super built-up  Area,Ready To Move,2 BHK,Sancya ,1552,2,1,51,Bibvewadi
Super built-up  Area,18-May,3 BHK,Sodgere,1804 - 2273,3,0,120,Bopodi
Super built-up  Area,Ready To Move,1 BHK,Jae 1hu,500,1,1,17,Budhwar Peth
Super built-up  Area,Ready To Move,2 BHK,,1080,2,2,43.2,Bund Garden Road
Plot  Area,Ready To Move,4 Bedroom,,2100,4,,155,Camp
Super built-up  Area,Ready To Move,2 BHK,Shntsan,1300,2,2,65,Chandan Nagar
Built-up  Area,Ready To Move,2 BHK,SNavenc,920,2,2,33,Dapodi
Plot  Area,Ready To Move,4 Bedroom,,817,2,1,120,Deccan Gymkhana
Built-up  Area,Ready To Move,2 BHK,SrEndPo,1310,2,1,50,Dehu Road
Super built-up  Area,Ready To Move,3 BHK,,1650,2,1,75,Dhankawadi
Super built-up  Area,Ready To Move,3 BHK,DSidePr,1515,3,3,93.93,Dhayari Phata
Super built-up  Area,18-Dec,2 BHK,Prllsan,1157,2,1,53.8,Dhole Patil Road
Super built-up  Area,Ready To Move,4 BHK,,2400,5,1,85,Erandwane
Super built-up  Area,Ready To Move,4 BHK,Siisega,3000,4,3,160,Fatima Nagar
Super built-up  Area,Ready To Move,3 BHK,,2200,2,1,162,Fergusson College Road
Built-up  Area,19-Dec,2 BHK,,1243,2,1,58,Ganesh Peth
Super built-up  Area,Ready To Move,3 BHK,Sovar S,1530,2,2,74.39,Ganeshkhind
Super built-up  Area,Ready To Move,3 BHK,HRnyaAn,2070,3,3,162,Ghorpade Peth
Built-up  Area,Ready To Move,3 BHK,PrrloMo,1815,3,2,82,Ghorpadi
Super built-up  Area,Ready To Move,4 BHK,Maana E,3900,4,3,300,Gokhale Nagar
Super built-up  Area,18-Aug,2 BHK,Sryalan,1000,2,1,28.88,Gultekdi
Super built-up  Area,18-May,2 BHK,,982,2,2,24.55,Guruwar peth
Super built-up  Area,Ready To Move,2 BHK,Puachal,1232,2,2,89,Hadapsar
Super built-up  Area,19-Dec,3 BHK,Shestlo,1282,3,2,178,Hadapsar Industrial Estate
Super built-up  Area,Ready To Move,1 BHK,Prensya,654,1,1,38.4,Hingne Khurd
Built-up  Area,Ready To Move,2 BHK,,1181,2,0,55,Jangali Maharaj Road
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,45,Kalyani Nagar
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,245,Karve Nagar
Super built-up  Area,Ready To Move,3 BHK,DSineun,1616,3,1,75,Karve Road
Built-up  Area,Ready To Move,5 Bedroom,,1800,6,0,44.5,Kasba Peth
Plot  Area,Ready To Move,6 Bedroom,,1200,4,1,135,Katraj
Super built-up  Area,20-Dec,3 BHK,Somns T,1306,3,2,54.65,Khadaki
Super built-up  Area,Ready To Move,3 BHK,Nillsre,1626,3,3,89,Khadki
Built-up  Area,Ready To Move,6 BHK,,2700,4,2,214,Kharadi
Super built-up  Area,Ready To Move,3 BHK,Sudama ,1585,3,2,88,Kondhwa
Super built-up  Area,Ready To Move,2 BHK,,1370,2,1,56.17,Kondhwa Budruk
Plot  Area,Ready To Move,5 Bedroom,,3250,5,3,900,Kondhwa Khurd
Super built-up  Area,Ready To Move,2 BHK,Goelsn ,1495,2,2,90,Koregaon Park
Super built-up  Area,Ready To Move,3 BHK,,2000,3,2,210,Kothrud
Plot  Area,Ready To Move,5 Bedroom,,2400,4,1,300,Law College Road
Plot  Area,Ready To Move,3 Bedroom,,1375,3,0,57,Laxmi Road
Super built-up  Area,Ready To Move,4 BHK,Brica E,3630 - 3800,6,0,224.5,Lulla Nagar
Built-up  Area,Ready To Move,3 BHK,,1400,2,2,48,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,5 BHK,,1100,5,0,135,Mangalwar peth
Super built-up  Area,21-Dec,1 BHK,SudenEd,660 - 670,,,28.585,Manik Bagh
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,215,Market yard
Super built-up  Area,Ready To Move,2 BHK,,1150,2,2,46,Model colony
Super built-up  Area,Ready To Move,2 BHK,,1080,2,1,54,Mukund Nagar
Super built-up  Area,Ready To Move,3 BHK,Brtiael,1645,3,2,100,Mundhawa
Super built-up  Area,Ready To Move,3 BHK,AkletBa,1760,3,3,176,Nagar Road
Built-up  Area,Ready To Move,1 BHK,Raiyai ,595,1,1,42,Nana Peth
Plot  Area,Ready To Move,3 Bedroom,Prana S,1200,3,1,125,Narayan Peth
Super built-up  Area,18-Dec,4 BHK,Pehtsa ,4000 - 5249,4,0,314.5,Narayangaon
Built-up  Area,Ready To Move,2 BHK,Vaodak ,1410,2,3,67,Navi Peth
Built-up  Area,18-Dec,2 BHK,,1090,2,1,31.48,Padmavati
Plot  Area,Ready To Move,1 Bedroom,,540,1,0,30,Parvati Darshan
Super built-up  Area,Ready To Move,2 BHK,Maaveal,1300,2,2,60,Pashan
Built-up  Area,Ready To Move,3 BHK,ImiteEl,1890,2,2,85,Paud Road
Super built-up  Area,Ready To Move,2 BHK,SLwernf,1254,2,1,53,Pirangut
Built-up  Area,Ready To Move,7 Bedroom,,2800,7,2,125,Prabhat Road
Built-up  Area,Ready To Move,2 BHK,,1275,2,,120,Pune Railway Station
Super built-up  Area,Ready To Move,3 BHK,,1245,2,2,68.48,Rasta Peth
Built-up  Area,Ready To Move,2 BHK,TealdEm,1170,2,2,86,Raviwar Peth
Super built-up  Area,18-Apr,2 BHK,Prcesvy,1193,2,1,86,Sadashiv Peth
Super built-up  Area,18-Dec,2 BHK,,850,2,1,25.4,Sahakar Nagar
Super built-up  Area,Ready To Move,3 BHK,PadgeOa,1678,3,3,70,Salunke Vihar
Built-up  Area,Ready To Move,3 BHK,NDrelau,1600,3,3,75,Sasson Road
Super built-up  Area,Ready To Move,3 BHK,GaicaVe,1750,3,2,84,Satara Road
Super built-up  Area,18-Nov,2 BHK,,1125,2,2,62,Senapati Bapat Road
Plot  Area,Ready To Move,4 Bedroom,,2200,4,3,235,Shaniwar Peth
Plot  Area,Ready To Move,3 Bedroom,CoiewSy,1500Sq. Meter,3,1,95,Shivaji Nagar
Built-up  Area,Ready To Move,3 BHK,Peentn ,2800,2,0,200,Shukrawar Peth
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,120,Sinhagad Road
Built-up  Area,Ready To Move,2 BHK,Riave E,1000,2,1,50,Somwar Peth
Built-up  Area,Ready To Move,4 BHK,,2780,5,2,480,Swargate
Built-up  Area,18-Dec,3 BHK,Sryalan,1320,2,1,38.13,Tilak Road
Super built-up  Area,Ready To Move,27 BHK,,8000,27,0,230,Uruli Devachi
Super built-up  Area,Ready To Move,4 BHK,AWharde,2422,4,2,160,Vadgaon Budruk
Built-up  Area,Ready To Move,2 BHK,TNaldme,1100,2,1,50,Wadgaon Sheri
Built-up  Area,Ready To Move,2 BHK,Gaent R,882,2,1,30,Viman Nagar
Super built-up  Area,Ready To Move,2 BHK,Prityel,845,2,1,37,Vishrant Wadi
Super built-up  Area,Ready To Move,2 BHK,Prrtht ,883,2,1,39,Wagholi
Super built-up  Area,Ready To Move,1 BHK,Bhmesy ,620 - 933,,,48.145,Wakadewadi
Super built-up  Area,Ready To Move,3 BHK,Gotaten,1595,3,3,88,Wanowrie
Built-up  Area,Ready To Move,2 BHK,Gotis A,1280,2,0,85,Warje
Built-up  Area,Ready To Move,4 Bedroom,,1700,2,1,550,Yerawada
Super built-up  Area,Ready To Move,2 BHK,NaaveEn,920,2,0,35,
Super built-up  Area,Ready To Move,2 BHK,GRlpank,1300,2,3,57,Alandi Road
Super built-up  Area,Ready To Move,2 BHK,Malex C,1450,1,0,230,Ambegaon Budruk
Super built-up  Area,Ready To Move,3 BHK,SosicCl,1757,3,2,132,Anandnagar
Super built-up  Area,Ready To Move,1 BHK,,600,1,1,16.5,Aundh
Built-up  Area,Ready To Move,4 Bedroom,,2400,3,2,142,Aundh Road
Super built-up  Area,Ready To Move,2 BHK,,1240,2,1,44,Balaji Nagar
Plot  Area,Ready To Move,10 Bedroom,,750,10,,90,Baner
Super built-up  Area,18-Feb,2 BHK,BrontLa,1330,2,1,93.36,Baner road
Super built-up  Area,Ready To Move,2 BHK,MBodsen,1062,2,1,42.47,Bhandarkar Road
Built-up  Area,Ready To Move,2 BHK,DSillto,1078,2,2,45,Bhavani Peth
Super built-up  Area,Ready To Move,3 BHK,SNity S,1460,2,2,72,Bibvewadi
Plot  Area,18-Dec,3 Bedroom,,1200,3,2,68.5,Bopodi
Super built-up  Area,Ready To Move,1 BHK,,1200,1,1,48,Budhwar Peth
Super built-up  Area,Ready To Move,3 BHK,,912,2,1,39,Bund Garden Road
Super built-up  Area,19-Mar,3 BHK,Sosisic,142.61Sq. Meter,3,1,115,Camp
Plot  Area,Ready To Move,5 Bedroom,,2400,5,1,625,Chandan Nagar
Plot  Area,Ready To Move,4 Bedroom,Prigh L,2028,4,3,162,Dapodi
Super built-up  Area,19-Apr,2 BHK,Brama P,980,2,1,45.47,Deccan Gymkhana
Built-up  Area,Ready To Move,2 BHK,Usquaya,1000,2,2,40,Dehu Road
Super built-up  Area,Ready To Move,2 BHK,Ahriaup,1050,2,1,62,Dhankawadi
Built-up  Area,18-Dec,3 Bedroom,,2611,3,1,239,Dhayari Phata
Super built-up  Area,Ready To Move,3 BHK,Saiewas,1875,2,2,150,Dhole Patil Road
Super built-up  Area,Ready To Move,2 BHK,,1065,2,1,42.6,Erandwane
Built-up  Area,Ready To Move,3 BHK,,1800,3,2,180,Fatima Nagar
Super built-up  Area,Ready To Move,2 BHK,,1163,2,2,98.86,Fergusson College Road
Super built-up  Area,Ready To Move,2 BHK,,1098,2,1,72,Ganesh Peth
Built-up  Area,Ready To Move,3 BHK,Shlashi,1725,2,2,100,Ganeshkhind
Plot  Area,Ready To Move,4 Bedroom,,4000,4,2,330,Ghorpade Peth
Super built-up  Area,Ready To Move,2 BHK,Adity S,1128,2,2,75,Ghorpadi
Plot  Area,Ready To Move,8 Bedroom,,1320,6,2,200,Gokhale Nagar
Super built-up  Area,Ready To Move,3 BHK,Prensya,1705,3,1,74.16,Gultekdi
Super built-up  Area,Ready To Move,2 BHK,,1418,2,2,95,Guruwar peth
Built-up  Area,Ready To Move,3 Bedroom,,1500,3,1,160,Hadapsar
Built-up  Area,Ready To Move,2 BHK,AkncyRe,1100,2,2,50,Hadapsar Industrial Estate
Super built-up  Area,Ready To Move,3 BHK,,1464,3,2,56,Hingne Khurd
Super built-up  Area,18-May,2 BHK,Arcia S,812,2,2,55,Jangali Maharaj Road
Super built-up  Area,19-Dec,4 BHK,Shestlo,2695 - 2940,,,204,Kalyani Nagar
Super built-up  Area,Ready To Move,2 BHK,,1280,2,2,40,Karve Nagar
Super built-up  Area,Ready To Move,2 BHK,BruntPa,1420,2,2,136,Karve Road
Plot  Area,Ready To Move,11 Bedroom,,1200,11,0,170,Kasba Peth
Plot  Area,Ready To Move,6 Bedroom,,727,6,2,66,Katraj
Plot  Area,Ready To Move,4 Bedroom,,1200,2,1,150,Khadaki
Super built-up  Area,18-May,4 BHK,Jaades ,2774,4,,207,Khadki
Super built-up  Area,Ready To Move,3 BHK,,2000,3,2,85,Kharadi
Super built-up  Area,Ready To Move,3 BHK,Gats He,1722,3,,95,Kondhwa
Super built-up  Area,Ready To Move,3 BHK,ToSky F,2800,3,1,330,Kondhwa Budruk
Plot  Area,Immediate Possession,,Orana N,2000 - 5634,,,124,Kondhwa Khurd
Carpet  Area,Ready To Move,3 BHK,Fanorrt,1650,3,3,175,Koregaon Park
Built-up  Area,Ready To Move,2 BHK,Raave E,840,2,2,27,Kothrud
Built-up  Area,Ready To Move,2 BHK,DLhtsan,914,2,2,47,Law College Road
Super built-up  Area,19-Mar,3 BHK,Puachal,1482,2,2,83.73,Laxmi Road
Super built-up  Area,17-Dec,3 BHK,Dieldli,1724,3,2,127,Lulla Nagar
Super built-up  Area,Ready To Move,3 BHK,Vadidpl,1670,3,3,91.86,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,2 BHK,,1184,2,3,53,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,55,Manik Bagh
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,65,Market yard
Super built-up  Area,Ready To Move,2 BHK,DLhtsen,927,2,2,55,Model colony
Super built-up  Area,Ready To Move,2 BHK,,1242,2,3,39.7,Mukund Nagar
Built-up  Area,18-Aug,3 BHK,Sryalan,1220,3,1,35.23,Mundhawa
Built-up  Area,Ready To Move,3 BHK,GMown E,1360,2,1,75,Nagar Road
Plot  Area,Ready To Move,4 Bedroom,,2800,4,2,240,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,Hiestre,1180,2,2,72,Narayan Peth
Super built-up  Area,Ready To Move,3 BHK,Prtates,1697,3,2,108,Narayangaon
Super built-up  Area,Ready To Move,2 BHK,,550,2,1,26,Navi Peth
Super built-up  Area,Ready To Move,2 BHK,Shateor,1225,2,1,57,Padmavati
Super built-up  Area,Ready To Move,3 BHK,ViisePa,1690,2,2,55,Parvati Darshan
Plot  Area,18-Apr,10 Bedroom,,1660,10,,475,Pashan
Super built-up  Area,Ready To Move,3 BHK,,1488,3,,57,Paud Road
Built-up  Area,Ready To Move,3 BHK,Keharya,1250,2,1,80,Pirangut
Super built-up  Area,Ready To Move,1 BHK,Duoveoo,1050,1,1,44,Prabhat Road
Super built-up  Area,Ready To Move,2 BHK,,1027,2,2,44,Pune Railway Station
Super built-up  Area,21-May,3 BHK,GolusLi,1699,3,3,81.94,Rasta Peth
Built-up  Area,Ready To Move,2 BHK,Viaree ,1205,2,2,58,Raviwar Peth
Plot  Area,Ready To Move,4 Bedroom,,712,2,1,67.5,Sadashiv Peth
Super built-up  Area,18-Feb,2 BHK,,950,2,3,39,Sahakar Nagar
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,70,Salunke Vihar
Super built-up  Area,Ready To Move,3 BHK,Hiows C,1476,3,1,120,Sasson Road
Built-up  Area,Ready To Move,2 BHK,,1070,2,1,55,Satara Road
Super built-up  Area,Ready To Move,3 BHK,BrontLa,2160,4,2,172,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,Putus L,1296,2,1,75,Shaniwar Peth
Built-up  Area,Ready To Move,2 Bedroom,,1800,1,1,128,Shivaji Nagar
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1570,3,3,64.5,Shukrawar Peth
Super built-up  Area,Ready To Move,2 BHK,Saace P,1300,2,3,110,Sinhagad Road
Built-up  Area,Ready To Move,4 BHK,,1550,2,2,65,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,GMown E,770,1,1,40,Swargate
Built-up  Area,Ready To Move,3 BHK,Kuownri,1870,3,,110,Tilak Road
Plot  Area,Ready To Move,3 Bedroom,Edleyil,1650,4,,160,Uruli Devachi
Super built-up  Area,Ready To Move,3 BHK,Valipf ,1429,3,3,86,Vadgaon Budruk
Super built-up  Area,17-Nov,3 BHK,,1167,2,2,39.98,Wadgaon Sheri
Super built-up  Area,18-May,2 BHK,SSestth,1035,2,1,41.73,Viman Nagar
Super built-up  Area,Ready To Move,3 BHK,,1188,2,2,38,Vishrant Wadi
Plot  Area,Ready To Move,5 Bedroom,,1200,4,2,285,Wagholi
Plot  Area,Ready To Move,3 Bedroom,Inensba,1574Sq. Yards,3,1,76,Wakadewadi
Super built-up  Area,Ready To Move,1 BHK,MaentNa,884,2,2,36,Wanowrie
Super built-up  Area,Ready To Move,2 BHK,,1194,2,2,46,Warje
Super built-up  Area,19-Dec,2 BHK,Caycend,1026,2,1,60.87,Yerawada
Plot  Area,Ready To Move,7 Bedroom,,1400,6,3,200,Alandi Road
Super built-up  Area,Ready To Move,2 BHK,,1115,2,2,50,Ambegaon Budruk
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,125,Anandnagar
Super built-up  Area,18-Dec,4 BHK,Jaades ,2690,4,3,191,Aundh
Super built-up  Area,Ready To Move,2 BHK,Mayne A,975,2,1,58,Aundh Road
Plot  Area,Ready To Move,3 Bedroom,,675,3,2,72.5,Balaji Nagar
Super built-up  Area,Ready To Move,4 BHK,,1900,2,1,170,Baner
Plot  Area,17-Dec,3 Bedroom,,600,3,1,100,Baner road
Super built-up  Area,Ready To Move,2 BHK,,1101,2,2,65.5,Bhandarkar Road
Super built-up  Area,Ready To Move,3 BHK,Maana E,1700,3,3,135,Bhavani Peth
Super built-up  Area,Ready To Move,4 BHK,PrOakSi,3606,4,2,312,Bibvewadi
Super built-up  Area,Ready To Move,2 BHK,ACersd ,1258,2,2,115,Bopodi
Carpet  Area,Ready To Move,3 BHK,Advash ,1560,3,,92,Budhwar Peth
Super built-up  Area,Ready To Move,4 BHK,Brica E,3630,6,1,195,Bund Garden Road
Built-up  Area,Ready To Move,3 BHK,Adace P,2000,3,2,250,Camp
Super built-up  Area,19-Jun,4 BHK,Raard B,2790,4,3,198,Chandan Nagar
Super built-up  Area,20-Jan,3 BHK,DNncasa,1494,2,2,94.55,Dapodi
Super built-up  Area,18-Oct,3 BHK,Puachal,1482,2,1,87,Deccan Gymkhana
Super built-up  Area,Ready To Move,2 BHK,Inuseda,800,2,3,50,Dehu Road
Super built-up  Area,Ready To Move,2 BHK,,1185,2,2,47.39,Dhankawadi
Super built-up  Area,Ready To Move,2 BHK,RatosAr,1100,2,2,71.5,Dhayari Phata
Built-up  Area,Ready To Move,2 Bedroom,,1300,2,0,120,Dhole Patil Road
Super built-up  Area,Ready To Move,2 BHK,EvestPi,1225,2,2,150,Erandwane
Super built-up  Area,Ready To Move,3 BHK,,1758,3,2,65,Fatima Nagar
Super built-up  Area,Ready To Move,2 BHK,,1145,2,2,55,Fergusson College Road
Built-up  Area,Ready To Move,2 BHK,BhncyRe,1180,2,2,50,Ganesh Peth
Super built-up  Area,Ready To Move,2 BHK,Kehts H,1260,2,2,58,Ganeshkhind
Super built-up  Area,19-Jun,4 BHK,Vaaram ,3450 - 3472,,,173,Ghorpade Peth
Built-up  Area,Ready To Move,2 BHK,DancyRe,1190,2,2,55,Ghorpadi
Super built-up  Area,Ready To Move,3 BHK,Klark L,1691,3,2,119,Gokhale Nagar
Super built-up  Area,18-Dec,4 BHK,,3675,4,3,367,Gultekdi
Built-up  Area,Ready To Move,3 BHK,Frhts H,1305,3,,95.45,Guruwar peth
Super built-up  Area,18-Apr,3 BHK,,2337,4,3,292,Hadapsar
Plot  Area,Ready To Move,2 Bedroom,,1200,2,2,150,Hadapsar Industrial Estate
Super built-up  Area,20-Dec,2 BHK,,1206,2,1,217,Hingne Khurd
Plot  Area,Ready To Move,5 Bedroom,,1350,4,1,130,Jangali Maharaj Road
Super built-up  Area,Ready To Move,2 BHK,,1140,2,1,50.66,Kalyani Nagar
Super built-up  Area,Ready To Move,2 BHK,Mauil T,1250,2,2,65,Karve Nagar
Plot  Area,Ready To Move,3 Bedroom,,600,2,1,60,Karve Road
Super built-up  Area,18-Aug,2 BHK,,1225,2,2,48,Kasba Peth
Built-up  Area,Ready To Move,2 BHK,N iewak,800,2,2,28,Katraj
Super built-up  Area,Ready To Move,2 BHK,ShshaSa,1020,2,1,58,Khadaki
Built-up  Area,Ready To Move,4 Bedroom,,2100,2,1,50,Khadki
Plot  Area,Ready To Move,2 Bedroom,,1350,2,1,80,Kharadi
Super built-up  Area,Ready To Move,2 BHK,,925,2,1,40,Kondhwa
Built-up  Area,Ready To Move,4 Bedroom,,1800,3,1,220,Kondhwa Budruk
Built-up  Area,Ready To Move,3 Bedroom,,2000,3,1,100,Kondhwa Khurd
Built-up  Area,Ready To Move,3 BHK,Loente ,1510,2,1,75,Koregaon Park
Plot  Area,Ready To Move,5 Bedroom,,5800,7,,1200,Kothrud
Super built-up  Area,Ready To Move,3 BHK,DubowRa,1614,3,1,110,Law College Road
Plot  Area,Ready To Move,3 Bedroom,,682,2,1,130,Laxmi Road
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,95,Lulla Nagar
Plot  Area,Ready To Move,2 Bedroom,,900,2,0,55,Mahatma Gandhi Road
Built-up  Area,Ready To Move,4 Bedroom,Prana S,1632,3,0,145,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,,1041,2,2,65.5,Manik Bagh
Built-up  Area,Ready To Move,6 BHK,BriumMi,5080,7,,450,Market yard
Super built-up  Area,18-Jul,4 BHK,Mamespa,3012,6,2,250,Model colony
Super built-up  Area,Ready To Move,3 BHK,,1530,3,2,74.5,Mukund Nagar
Super built-up  Area,Ready To Move,3 BHK,NCdgerj,1450,2,2,135,Mundhawa
Super built-up  Area,Ready To Move,2 BHK,Hiate F,1200,2,2,75,Nagar Road
Plot  Area,Ready To Move,4 Bedroom,,1200,4,,130,Nana Peth
Super built-up  Area,Ready To Move,3 BHK,PuendWe,1508,2,1,110,Narayan Peth
Built-up  Area,Ready To Move,7 BHK,,600,7,3,106,Narayangaon
Super built-up  Area,Ready To Move,2 BHK,AlEcone,1188,2,3,73,Navi Peth
Super built-up  Area,18-May,4 BHK,Jaades ,2690,4,3,199,Padmavati
Super built-up  Area,Ready To Move,2 BHK,Prncyrn,1174,2,1,76,Parvati Darshan
Super built-up  Area,19-Dec,3 BHK,SheldGr,1350,3,1,58.99,Pashan
Super built-up  Area,Ready To Move,3 BHK,Bamita ,1870,3,3,185,Paud Road
Super built-up  Area,18-Jun,2 BHK,DSestSt,1072,2,1,25,Pirangut
Plot  Area,Ready To Move,3 Bedroom,,52272,2,1,140,Prabhat Road
Super built-up  Area,18-Nov,2 BHK,VBn 2lm,726,2,1,31,Pune Railway Station
Super built-up  Area,Ready To Move,2 BHK,Saageat,1345,2,2,106,Rasta Peth
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2,2,45,Raviwar Peth
Built-up  Area,Ready To Move,2 BHK,,980,2,0,37,Sadashiv Peth
Super built-up  Area,Ready To Move,2 BHK,SyidaCr,1050,2,1,77,Sahakar Nagar
Super built-up  Area,Ready To Move,2 BHK,,993,2,1,39.71,Salunke Vihar
Super built-up  Area,Ready To Move,3 BHK,,1300,2,2,52,Sasson Road
Super built-up  Area,Ready To Move,3 BHK,Prlla C,1743,3,2,85,Satara Road
Plot  Area,Ready To Move,4 Bedroom,,1204,4,1,125,Senapati Bapat Road
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,67,Shaniwar Peth
Super built-up  Area,Ready To Move,3 BHK,,1480,3,2,90,Shivaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Sondaka,950,2,2,32.5,Shukrawar Peth
Built-up  Area,Ready To Move,1 BHK,Saiewas,640,1,0,55,Sinhagad Road
Super built-up  Area,18-Jul,2 BHK,MJtroty,972,2,1,44,Somwar Peth
Super built-up  Area,Ready To Move,3 BHK,PadgeOa,1840,3,3,98,Swargate
